name,address,phone_number,website,description
Danforth Dentistry - Dr. Strugurescu,"309-745 Danforth Ave, Toronto, ON M4J 1L4",647-723-9559,http://www.danforthdentistry.com/,General Dentist Dr. Michael Strugurescu focuses on aiding and maintaining complete oral health and also provides cosmetic dental treatments.
Dr Steven & Dr Jonathan Stern Dentistry,"2-49 Eglinton Ave E, Toronto, ON M4P 1G6",647-846-7243,http://drstern.ca/,Steven Stern is a General and Community Dentist who helps patients overcome anxiety about dental care.
Vernon Koo,"1920 Yonge St, Toronto, ON M4S 3E2",647-498-0073,http://www.yongedavisvilledentistry.com/,"Periodontists offering comprehensive general and family dentistry, cosmetic dentistry, and welcomes new patients and emergencies, located above Davisville Subway."
Royal Bank Plaza Dental Centre,"200 Bay St, Toronto, ON M5J 2J3",437-889-3282,http://www.royaldentalcentre.com/,"They offer oral hygiene/preventive care, teeth whitening, implants, crown/bridges/veneers, dentures/extractions, sports mouth guards/TMJ night guards, complimentary cosmetic consultation, orthodontics & Invisalign."
Dr Marta Prystayko,"305-2425 Bloor St W, Toronto, ON M6S 4W4",647-484-2943,http://www.facebook.com/1186411154705330,"Practicing family dentistry in the Bloor West community for over 30 years, offering general, family, and cosmetic services, root canals, dental implant consultations, periodontal service and hygiene, children dentistry, teeth cleaning and whitening, and sports mouth guards."
Dr Violeta Danciu,"2329 Dundas St W, Toronto, ON M6R 1X6",416-533-4973,http://www.danciudentist.com/,Dr. Violeta Danciu is an experienced Toronto family dentist who provides truly exceptional dental care and satisfaction to for her patients over many years.
Dr Paul S Monczka,"103-795 Eglinton Ave E, East York, ON M4G 4E4",416-424-3477,,Dentist
Endodontic Specialists - Bay Street,"1235 Bay St., Toronto, ON M5R 3K4",416-963-9988,http://www.rootcanals.ca/,Endodontic Specialists - Bay Street is a Family-friendly Endodontist in Toronto committed to providing personalized care.
Dr Robert Elia,"175 York Mills Rd, North York, ON M2L 1K6",416-512-6431,http://www.facebook.com/760044720798682,Dr Elia is proud North York Dentist
Yonge Eglinton Periodontics & Implant Surgery,"2300 Yonge Street, Toronto, ON M4P 1E4",416-481-1179,http://www.drandrewkay.com/,"Dr Andrew Kay, Located in Toronto, Yonge Eglinton Periodontics & Implant Surgery offers a range of care options for better oral health, including bone grafts, dental implants, and extractions."
Dagys Arlene P Dr,"340 Kingston Road, Toronto, ON M4L 1T7",416-690-8525,https://www.facebook.com/1701420380146028,Dagys Arlene P Dr is a Toronto-based dentist providing general oral health check-ups and dental emergency services.
Scarlett Road Dentistry,"263 Scarlett Rd, York, ON M6N 4L1",416-763-3773,http://www.scarlettroaddentistry.com/,"Dr Lorne Levy, Dentist"
Forest Hill Village Orthodontics,"740 Eglinton Ave W, Toronto, ON M5N 1C4",416-789-1231,http://www.foresthillvillageorthodontics.com/,"Located in Toronto and Aurora, Ontario, our practice's top priority is to provide you the highest quality orthodontic care in a friendly, comfortable environment."
Dr Mark Nusinoff,"203-2179 Yonge St, Toronto, ON M4S 2B1",416-488-6633,https://yongestreetdental.com/,"Yonge Street Dental, Dentist"
Emergency-Dental-365.com,"Toronto, ON",647-693-8312,https://emergency-dental-365.com/,Emergency Dental 365 provides emergency dental services in Toronto.
Dentistry on Dufferin,"2992 Dufferin St, North York, ON M6B 3T3",647-849-3146,http://dentistryondufferin.ca/,"Dentistry On Dufferin provides quality, comprehensive dental care for you and your family in a relaxed, modern facility."
Apple Tree Dental for Kids,"895 Lawrence Ave E, North York, ON M3C 3L2",647-495-7863,http://www.appletreedentalforkids.com/,Appletree Dental for Kids is a pediatric dental office aimed at serving children ages 1 to 17.
Solomon Jeff Dr,"1114 Eglinton Ave W, Toronto, ON M6C 2E2",416-782-1711,http://eglintonwestdental.ca/,"Eglinton West Dental provides general and cosmetic dental needs, specializing in preventive and restorative dentistry."
Dr Andrew Kay,"706-2300 Yonge St, Toronto, ON M4P 1E4",416-481-1179,http://drandrewkay.com/,Yonge Eglinton Periodontics & Implant Surgery.
Dr. Neil Hahn,"2184A Bloor W, Toronto, ON M6S 1M8",416-766-6383,http://highparkdentalcare.com/,High Park Dental Care.
Infusini Frank Dr,"3200 Dufferin St, North York, ON M6A 3B2",416-781-8777,http://www.facebook.com/1607524952855837,Infusini Frank Dr is a dentist.
Salama Sam Dr,"2425 Bloor St W, Toronto, ON M6S 4W4",416-604-2262,,Salama Sam Dr is a dentist.
Leaside Dental Care,"795 EglintonE, East York, ON M4G 4E4",416-424-3477,http://www.facebook.com/823534437751673,Leaside Dental Care is a dental practice.
Frackowiak Anne Marie Dr,"2351 Queen St E, Toronto, ON M4E 1H2",416-691-4768,http://drannemarie.com/,Dr Barbara Frackowiak is a D.D.S. certified orthodontist with multiple locations.
Dr Samantha Fialkov,"500 Glencairn Ave, North York, ON M6B 1Z1",416-783-2272,,Perlmutter Dentistry.
Dr Allan Goodman,"101-1 Concorde Gate, North York, ON M3C 3N6",416-441-3232,http://www.smilexperts.ca/,"Concorde Gate Dental has an exceptional, helpful, knowledgeable and friendly staff."
Dr Budning & Warchuk,"305-65 Wellesley St E, Toronto, ON M4Y 1G7",416-923-3325,,Dr Budning & Warchuk are dentists.
Parkway Mall,"85 Ellesmere Rd, Scarborough, ON M1R 4B9",416-445-0235,https://parkwaymall.ca/,Parkway Mall offers administration services.
Royal Bank,"330 Front St W, Toronto, ON M5V 3B7",416-974-4115,https://www.facebook.com/pages/Royal-Bank-Of-Canada/135745617113457,Royal Bank is a bank.
Altima Coxwell Dental Centre,"704 Coxwell Ave, Toronto, ON M4C 3B9",416-465-9343,https://www.altimadental.com/locations/coxwell,Altima Coxwell Dental Centre provides dental services.
High Park Dental Care,"2184A Bloor St W, Toronto, ON M6S 1N3",416-766-6383,http://www.highparkdentalcare.com/,High Park Dental Care offers dental clinics and centres services.
Dr Ester Canton Dentistry,"128-55 St Clair Ave W, Toronto, ON M4V 2Y7",647-352-2010,,"Dr. Canton did amazing work for my son, and he is happy to finally be able to smile without being conscious of the way he looks."
Cudmore C J Dr,"1849 Yonge St, Toronto, ON M4S 1Y2",416-486-0964,,Cudmore C J Dr offers dental services.
Eng Robert Dr & Friedlich Joseph Dr,"216-1560 Yonge St, Toronto, ON M4T 2S9",416-921-7477,http://www.yongestclairoralsurgery.com/,"We are an Oral and Maxillofacial Surgery practice dedicated to managing a wide scope of injuries or diseases pertaining to the head, neck, face, jaw, mouth and teeth in the oral an..."
Dr. M. L. Bygrave,"2380 Eglinton W, York, ON M6M 1S6",416-651-5466,http://drmlbygrave.com/,"Bring the whole family to the clinic of Dr. M. L. Bygrave in York, Ontario, for your oral health needs."
Dr. John R Gay,"340 College St, Toronto, ON M5T 3A9",416-924-9673,,Oral Surgery Practice
The College & Dufferin Dental Clinic,"1111a College Street, Toronto, ON M6H 1B4",647-558-3148,https://collegestreetdentist.com/,"Our mouth is the most important part of our body, and it serves as a source of immense pleasure in various aspects of life, such as eating, drinking, breathing, speaking, and relis..."
Dr George Elias,"4-1730 Bloor St W, Toronto, ON M6P 1B3",416-766-2222,,Dr George Elias offers dental services.
Fort York Dentist,"219 Fort York Boulevard, Toronto, ON M5V 1B1",647-346-8888,https://www.fortyorkdentist.com/,Our Dental Clinic is located in downtown Toronto and provides the highest standard of dental care.
Cabbagetown Dental Centre,"588 Parliament St, Toronto, ON M4X 1P8",416-927-7600,https://cabbagetowndental.com/,"Whether you’re looking for cosmetic dentistry, teeth whitening, implants, or braces, Cabbagetown Dental Centre in Toronto believes in providing you with gentle, caring service."
Crossways Family Dental,"2340 Dundas St W, Toronto, ON M6P 4A9",416-535-5799,,Dr Jarvis and Dr Krystyna Jarvis Dr. Julia Jarvis & Dr. Krystyna Jarvis welcome you to Crossways Family Dental.
Mazzatto Anthony Dr,"65 Queen Street West, Toronto, ON M5H 2M5",416-368-9949,,Dr. Anthony Mazzatto welcomes new patients to his dental office located in downtown Toronto.
Dr M J Appleby,"Bloor Street West, Toronto, ON M6G 1M4",416-531-5111,https://www.facebook.com/pages/Dr-Appleby/324421624278155,Dr M J Appleby offers dental services.
Yonge & St.Clair Oral Surgery Assoc.,"1560 Yonge Street, Toronto, ON M4T 2S9",416-921-7477,http://www.yongestclairoralsurgery.com/,"We are an oral and maxillofacial Surgery practice dedicated to managing a wide scope of injuries or diseases pertaining to the head, neck, face, jaw, mouth and teeth in the oral an..."
Harbour Dental Centre,"8-12 Yonge Street, Toronto, ON M5E 1Z9",416-214-9119,https://dentalcentres.com/,A mix of urban elegance and charm make our location at the base of \' vibrant Yonge Street among the top medical facilities in Toronto.
Dental Arts At Front-Invisalign Toronto,"350 Front St W, Toronto, ON M5V 3W7",437-747-7613,https://invisalign-toronto.ca/,Dental Arts At Front-Invisalign Toronto offers dental and orthodontic services.
Dental Arts At Lawrence-Invisalign Toronto,"485 Lawrence Ave W, North York, ON M5M 1C6",437-747-3913,,Dental Arts At Lawrence-Invisalign Toronto offers dental services.
"Dr. S Fenwick, Dr. R Klein & Associates","619 Kingston Rd W, Ajax, ON L1S 6L8",289-275-2036,https://www.yellowpages.ca/bus/Ontario/Ajax/Dr-S-Fenwick-Dr-R-Klein-Associates/8221022.html?what=Dentists&where=Toronto+ON&useContext=true,"They are maxillofacial surgeons serving the Durham region including Pickering, Whitby and Courtice."
Dr Yaw Okraku,"98 Glen Shields Ave, Concord, ON L4K 1T6",905-669-5837,https://www.yellowpages.ca/bus/Ontario/Concord/Dr-Yaw-Okraku/2442103.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dentists.
Humber River Dentistry,"1340 Wilson Ave, North York, ON M3M 1H8",416-244-5659,http://drhbelman.ca/,Listing for dentists.
Dr Shafarenko Dental,"895 Wilson Ave, North York, ON M3K 1E6",416-630-5164,http://www.facebook.com/404955053304286,Listing for dentists.
Mummery Janice Dr,"3052 Bloor St W, Etobicoke, ON M8X 1C4",416-231-4562,https://princeviewdental.com/,"Princeview Dental Group, listing for dentists."
Farn Ronald Dr,"111 Ellesmere Rd, Scarborough, ON M1R 4C3",416-449-2838,http://www.facebook.com/173750759880280,Listing for dentists.
Laborers' Union Local 183 Dental Clinic,"1263 Wilson Ave, North York, ON M3M 3G2",416-241-1190,http://www.liunalocal183.ca/,Listing for dentists.
Dr Tom Veiledal,"305-1 Palace Pier Crt, Etobicoke, ON M8V 3W9",416-251-4370,https://www.yellowpages.ca/bus/Ontario/Etobicoke/Dr-Tom-Veiledal/101499551.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dentists.
Dr M Shorser,"2083 Lake Shore Blvd W, Etobicoke, ON M8V 4G2",647-846-7274,https://www.yellowpages.ca/bus/Ontario/Etobicoke/Dr-M-Shorser/102024785.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dentists.
Lakeshore Dental. Cosmetic and Implant Dentistry. Dr Izabela Olczyk & Associates,"16 Brookers Lane, Toronto, ON M8V 0A5",416-255-6400,http://www.lakeshoredental.ca/,Listing for dentists.
Reyes S Dr,"4-1089 Kingston Rd, Scarborough, ON M1N 4E4",416-691-4146,https://www.yellowpages.ca/bus/Ontario/Scarborough/Reyes-S-Dr/102534458.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dentists.
Beach Braces,"1089 Kingston Rd, Scarborough, ON M1N 4E4",416-690-4540,http://www.beachbraces.ca/,"Dr John Daskalogiannakis, listing for dentists and orthodontists."
Sunrise Kids Dental,"1089 Kingston Rd, Scarborough, ON M1N 4E4",647-350-7562,http://www.facebook.com/1534718876740897,Listing for dental clinics & centres.
Upper Beaches Dental,"4-1120 Kingston Rd, Scarborough, ON M1N 1N4",416-682-7017,https://www.yellowpages.ca/bus/Ontario/Scarborough/Upper-Beaches-Dental/103123794.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dental clinics & centres.
Park Lawn Smiles Dental,"6-2183 Lake Shore Blvd W, (Unit Ls), Etobicoke, ON M8V 0J2",647-483-0545,https://www.yellowpages.ca/bus/Ontario/Etobicoke/Park-Lawn-Smiles-Dental/102703991.html?what=Dentists&where=Toronto+ON&useContext=true,Listing for dental clinics & centres.
Altima Dental Centre at First Canadian Place,"100 King St, Unit C13, Toronto, ON M5X 2A1",416-368-7226,https://www.altimadental.com/locations/first-canadian-place,A dental clinic located in First Canadian Place.
Riverside Dental,"690 Queen St E, Toronto, ON M4M 1G9",647-348-6900,https://riversidedentalcenter.ca/,A dental clinic located on Queen Street East.
Country Dental,"396 Broadway Ave, Toronto, ON M4G 0C3",416-335-7377,http://www.facebook.com/185557445148280,A dental clinic located on Broadway Avenue.
Altima Scotia Plaza Dental Centre,"104 Yonge St, Unit 214, Toronto, ON M5C 2Y6",416-644-1122,https://www.altimadental.com/locations/scotia-plaza,A dental clinic located in Scotia Plaza.
Altima Annex Dental Centre,"201-535 Bloor St W, Toronto, ON M5S 1Y5",416-535-1167,https://www.altimadental.com/locations/annex,A dental clinic located on Bloor Street West.
Altima College West Dental Centre,"979 College St, Toronto, ON M6H 1A6",416-533-5544,https://www.altimadental.com/locations/college-west,A dental clinic located on College Street.
Altima Yonge-Eglinton Dental Centre,"2300 Yonge St, #Fl 2, Toronto, ON M4P 1E4",416-322-9944,https://www.altimadental.com/locations/yonge-eglinton,A dental clinic located on Yonge Street.
Soho Dental,"147 Spadina Ave, Toronto, ON M5V 2L7",416-340-7646,https://sohodental.ca/,A dental clinic located on Spadina Avenue.
City Dental,"415 Yonge St, Toronto, ON M5B 2E7",416-845-5500,https://citydentaltoronto.com/,A dental clinic located on Yonge Street that has good reviews.
St Clair West Dental Office,"550 St Clair Ave W, Toronto, ON M6C 1A5",416-653-3368,https://www.facebook.com/pages/St-Clair-West-Dental-Office/141578682586563,A dental office located on St Clair Avenue West.
Chiu Helen Dr,"358-5 Fairview Mall Dr, North York, ON M2J 2Z1",647-494-3661,http://drhelenchiupaediatricdentistry.ca/,A child friendly dental office located in Willow.
Princeview Dental Group,"3052 Bloor St W, Etobicoke, ON M8X 1C4",416-231-4562,https://princeviewdental.com/,A dental clinic with Dr Janice Mummery.
Park Home Dental,"5 Park Home Ave, North York, ON M2N 6L4",416-221-6333,http://parkhomedental.com/,A dental clinic that provides a full range of general and cosmetic dental services.
Dr. David Eisenstat,"4190 Finch Avenue East, Scarborough, ON M1S 4T7",647-361-2653,http://dentistryforchildrentoronto.ca/,A dental office for children in Scarborough.
Braceland Orthodontists,"3420 Finch Ave E, Scarborough, ON M1W 2R6",647-849-3460,https://www.mybraceland.com/,"An orthodontist office that provides ceramic braces, bonded lingual retainers, and invisible braces."
Cosentino Maria Dr,"3327 Bloor Street West, Etobicoke, ON M8X 1E7",647-361-4959,http://www.drmariacosentino.com/,A dental office that provides patients with the highest level of dental care in a comfortable and professional atmosphere.
"Dr. Duc Nguyen, DDS","221-10720 Yonge St, Richmond Hill, ON L4C 3C9",905-737-7788,,Dr. Duc Nguyen offers top-quality family and cosmetic dentistry in Richmond Hill.
Dr Law Winston,"295A Queen St E, Brampton, ON L6W 3W9",905-450-5800,http://drwinstonlaw.com/,Bramrose Dental Office.
Keele & Finch Dental Office,"1280 Finch Avenue West, North York, ON M3J 3K6",416-667-7672,https://keeleandfinchdentaloffice.com/,A dental office that provides you and your family the best quality of care.
